entity_id,state,last_changed
sensor.ebusd_700_z2roomtemp,21.5,2026-01-31T19:21:22.180Z
sensor.ebusd_700_z2roomtemp,21.4375,2026-01-31T20:11:47.254Z
sensor.ebusd_700_z2roomtemp,21.375,2026-01-31T20:36:57.169Z
sensor.ebusd_700_z2roomtemp,21.3125,2026-01-31T21:02:12.473Z
sensor.ebusd_700_z2roomtemp,21.25,2026-01-31T21:52:32.231Z
sensor.ebusd_700_z2roomtemp,21.1875,2026-01-31T22:42:57.391Z
sensor.ebusd_700_z2roomtemp,21.25,2026-01-31T23:08:07.483Z
sensor.ebusd_700_z2roomtemp,21.3125,2026-02-01T01:39:23.204Z
sensor.ebusd_700_z2roomtemp,21.375,2026-02-01T04:10:33.277Z
sensor.ebusd_700_z2roomtemp,21.4375,2026-02-01T06:16:34.299Z
sensor.ebusd_700_z2roomtemp,21.375,2026-02-01T07:06:59.492Z
sensor.ebusd_700_z2roomtemp,21.4375,2026-02-01T07:57:24.293Z
sensor.ebusd_700_z2roomtemp,21.3125,2026-02-01T08:47:44.407Z
sensor.ebusd_700_z2roomtemp,21.375,2026-02-01T10:28:34.366Z
sensor.ebusd_700_z2roomtemp,21.4375,2026-02-01T10:53:45.382Z
sensor.ebusd_700_z2roomtemp,21.5,2026-02-01T11:19:00.484Z
sensor.ebusd_700_z2roomtemp,21.5625,2026-02-01T12:09:20.284Z
sensor.ebusd_700_z2roomtemp,21.6875,2026-02-01T13:25:01.543Z
sensor.ebusd_700_z2roomtemp,21.75,2026-02-01T14:40:35.402Z
sensor.ebusd_700_z2roomtemp,21.6875,2026-02-01T16:46:37.420Z
sensor.ebusd_700_z2roomtemp,21.75,2026-02-01T17:11:46.433Z
sensor.ebusd_700_z2roomtemp,21.6875,2026-02-01T17:36:56.532Z
sensor.ebusd_700_z2roomtemp,21.625,2026-02-01T18:52:36.394Z
sensor.ebusd_700_z2roomtemp,21.5625,2026-02-01T20:08:11.771Z
sensor.ebusd_700_z2roomtemp,21.5,2026-02-01T21:23:46.587Z
sensor.ebusd_700_z2roomtemp,21.4375,2026-02-01T21:48:56.687Z
sensor.ebusd_700_z2roomtemp,21.375,2026-02-01T22:14:11.831Z
sensor.ebusd_700_z2roomtemp,21.3125,2026-02-01T22:39:22.408Z
sensor.ebusd_700_z2roomtemp,21.375,2026-02-02T00:45:22.424Z
sensor.ebusd_700_z2roomtemp,21.3125,2026-02-02T01:10:32.477Z
sensor.ebusd_700_z2roomtemp,21.375,2026-02-02T02:00:57.601Z
sensor.ebusd_700_z2roomtemp,21.4375,2026-02-02T04:32:08.670Z
